,0
1-2,0.2776966989020355
2-3,0.2762405822403001
3-4,0.12189567295699368
5-9,0.26832957899596854
13-17,0.12194294639917691
5-6,0.22757227228588145
6-7,0.21833295891672652
7-8,0.06622453171452995
9-10,0.2252405092475494
10-11,0.2176553249061022
11-12,0.06807926549162457
13-14,0.3169162523174432
14-15,0.3275417390823834
15-16,0.1056733060281264
17-18,0.31684230220110404
18-19,0.3284182532183766
19-20,0.10584806240388524
1-5,0.4783570834300459
1-9,0.4788445217392765
1-13,0.06852048977357532
1-17,0.06843754457908179
21-5,0.15029115093766798
21-9,0.1503789942339424
