,0
1-2,0.032898075245935125
2-3,0.046276048161148706
3-4,0.017302500207927934
5-9,0.08387480108654823
13-17,0.03360582937376237
5-6,0.0329186413416849
6-7,0.031754937104386316
7-8,0.03839773526600883
9-10,0.03320249854475788
10-11,0.03263431350194664
11-12,0.03979553918693792
13-14,0.05515868563147232
14-15,0.054352598907072835
15-16,0.022635015628399965
17-18,0.05526602921631124
18-19,0.05641783309712788
19-20,0.02234865575041866
1-5,0.06056934133707536
1-9,0.05967760562993934
1-13,0.022101307831238648
1-17,0.022247997695431402
21-5,0.05858599200777102
21-9,0.0604674792535957
