,0
1-2,0.30235213259443205
2-3,0.30036637368979935
3-4,0.13089549743559278
5-9,0.30251352386105995
13-17,0.13611628087084746
5-6,0.24745558156050418
6-7,0.2373083352887694
7-8,0.07343341817970668
9-10,0.24465106369911124
10-11,0.23672755537177315
11-12,0.07565635552350848
13-14,0.3522818863159107
14-15,0.36073818747364783
15-16,0.11587580735685989
17-18,0.35125634022492114
18-19,0.36229544681274656
19-20,0.11652886329306705
1-5,0.5226601390157158
1-9,0.5207646762790203
1-13,0.07598720071449866
1-17,0.0751464908211296
21-5,0.1705809268945491
21-9,0.17177593998049887
